ticket_id,zone,category,priority,opened_on,closed_on,estimated_hours,summary
T-00103,North,Comfort,High,2026-02-17,,8,"Investigate room conditions - synthetic ticket 103; location label ""A, B"""
T-00104,North,Comfort,Normal,2026-02-23,,0,Investigate room conditions - synthetic ticket 104
T-00105,North,Technology,Low,2026-03-04,,0,Check a shared classroom device - synthetic ticket 105
T-00106,North,Comfort,Normal,2026-03-18,2026-04-01,1,Investigate room conditions - synthetic ticket 106
T-00107,North,Comfort,Low,2026-02-18,,0.5,Investigate room conditions - synthetic ticket 107
T-00108,North,Access,Low,2026-03-12,2026-03-26,1,Inspect an entrance or lift - synthetic ticket 108
T-00109,North,Technology,High,2026-02-17,,8,Check a shared classroom device - synthetic ticket 109
T-00110,North,Access,Normal,2026-03-15,2026-03-25,0,Inspect an entrance or lift - synthetic ticket 110
T-00111,North,Technology,Low,2026-03-01,2026-03-02,2,Check a shared classroom device - synthetic ticket 111
T-00112,North,Access,Normal,2026-03-14,,8,"Inspect an entrance or lift - synthetic ticket 112
Follow-up requested"
T-00113,North,Comfort,High,2026-02-23,2026-02-25,16,Investigate room conditions - synthetic ticket 113
T-00114,North,Technology,Low,2026-03-05,2026-03-17,8,Check a shared classroom device - synthetic ticket 114
T-00115,North,Access,Low,2026-03-07,2026-03-15,1,Inspect an entrance or lift - synthetic ticket 115
T-00116,North,Access,Low,2026-03-22,,2,Inspect an entrance or lift - synthetic ticket 116
T-00117,North,Comfort,Low,2026-03-31,,,Investigate room conditions - synthetic ticket 117
T-00118,North,Comfort,Low,2026-03-09,,2,Investigate room conditions - synthetic ticket 118
T-00119,North,Technology,Low,2026-02-15,2026-02-16,,Check a shared classroom device - synthetic ticket 119; <em>inspection only</em>
T-00120,North,Technology,High,2026-02-24,2026-03-02,,"Check a shared classroom device - synthetic ticket 120; location label ""A, B"""
T-00121,Central,Technology,High,2026-03-22,2026-03-24,8,Check a shared classroom device - synthetic ticket 121
T-00122,Central,Access,Low,2026-03-07,,1,Inspect an entrance or lift - synthetic ticket 122
T-00123,Central,Comfort,Low,2026-02-28,2026-03-03,8,Investigate room conditions - synthetic ticket 123
T-00124,Central,Technology,Low,2026-03-17,2026-03-22,0,Check a shared classroom device - synthetic ticket 124
T-00125,Central,Technology,Normal,2026-03-16,2026-03-17,16,Check a shared classroom device - synthetic ticket 125
T-00126,Central,Access,Normal,2026-03-26,2026-03-30,2,Inspect an entrance or lift - synthetic ticket 126
T-00127,Central,Comfort,Low,2026-03-10,2026-03-22,0,Investigate room conditions - synthetic ticket 127
T-00128,Central,Technology,Low,2026-03-09,2026-03-11,16,Check a shared classroom device - synthetic ticket 128
T-00129,Central,Technology,Low,2026-03-30,2026-04-01,0,Check a shared classroom device - synthetic ticket 129
T-00130,Central,Technology,Low,2026-03-25,,,Check a shared classroom device - synthetic ticket 130
T-00131,Central,Access,Low,2026-03-25,,1,Inspect an entrance or lift - synthetic ticket 131
T-00132,Central,Technology,High,2026-03-24,,8,Check a shared classroom device - synthetic ticket 132
T-00133,Central,Technology,High,2026-03-30,2026-04-01,2,Check a shared classroom device - synthetic ticket 133
T-00134,Central,Access,Low,2026-03-19,,4,Inspect an entrance or lift - synthetic ticket 134
T-00135,Central,Comfort,Normal,2026-03-10,2026-03-20,2,Investigate room conditions - synthetic ticket 135
T-00136,Central,Access,Low,2026-03-04,2026-03-14,8,Inspect an entrance or lift - synthetic ticket 136
T-00137,Central,Access,High,2026-03-12,,,"Inspect an entrance or lift - synthetic ticket 137; location label ""A, B"""
T-00138,Central,Access,Low,2026-03-17,2026-03-23,4,Inspect an entrance or lift - synthetic ticket 138
T-00139,Central,Technology,High,2026-03-05,,2,Check a shared classroom device - synthetic ticket 139
T-00140,Central,Technology,High,2026-03-06,2026-03-16,,Check a shared classroom device - synthetic ticket 140
T-00141,Central,Technology,Low,2026-03-03,2026-03-11,0.5,Check a shared classroom device - synthetic ticket 141
T-00142,Central,Access,Low,2026-03-13,2026-03-15,8,Inspect an entrance or lift - synthetic ticket 142
T-00143,Central,Technology,Normal,2026-03-08,2026-03-14,,Check a shared classroom device - synthetic ticket 143
T-00144,Central,Technology,Low,2026-02-25,2026-03-07,4,Check a shared classroom device - synthetic ticket 144
T-00145,Central,Technology,Low,2026-03-04,,2,Check a shared classroom device - synthetic ticket 145
T-00146,Central,Comfort,Low,2026-03-08,,16,Investigate room conditions - synthetic ticket 146
T-00147,Central,Technology,Low,2026-03-16,2026-03-21,4,Check a shared classroom device - synthetic ticket 147
T-00148,Central,Technology,High,2026-03-09,2026-03-16,0,Check a shared classroom device - synthetic ticket 148
T-00149,Central,Comfort,Normal,2026-03-15,2026-03-20,,"Investigate room conditions - synthetic ticket 149
Follow-up requested"
T-00150,Central,Technology,Normal,2026-03-20,,16,Check a shared classroom device - synthetic ticket 150
T-00151,Central,Technology,Low,2026-03-12,2026-03-25,4,Check a shared classroom device - synthetic ticket 151
T-00152,Central,Comfort,Normal,2026-03-12,2026-03-26,,Investigate room conditions - synthetic ticket 152
T-00153,Central,Comfort,Low,2026-03-08,,,Investigate room conditions - synthetic ticket 153
T-00154,Central,Technology,Low,2026-02-27,2026-03-11,,"Check a shared classroom device - synthetic ticket 154; location label ""A, B"""
T-00155,Central,Technology,Normal,2026-03-25,2026-03-28,,Check a shared classroom device - synthetic ticket 155
T-00156,Central,Access,Low,2026-03-29,2026-03-31,0.5,Inspect an entrance or lift - synthetic ticket 156
T-00157,Central,Technology,Low,2026-03-05,,8,Check a shared classroom device - synthetic ticket 157
T-00158,Central,Technology,Normal,2026-03-03,2026-03-15,0.5,Check a shared classroom device - synthetic ticket 158
T-00159,Central,Comfort,Normal,2026-03-03,2026-03-16,4,Investigate room conditions - synthetic ticket 159
T-00160,Central,Technology,Low,2026-03-14,,,Check a shared classroom device - synthetic ticket 160
T-00161,Central,Comfort,Normal,2026-03-11,,,Investigate room conditions - synthetic ticket 161
T-00162,Central,Access,Low,2026-02-25,2026-03-03,8,Inspect an entrance or lift - synthetic ticket 162
T-00163,Central,Technology,Normal,2026-03-31,2026-04-01,0.5,Check a shared classroom device - synthetic ticket 163
T-00164,Central,Comfort,High,2026-03-17,,0,Investigate room conditions - synthetic ticket 164
T-00165,Central,Access,Low,2026-03-09,,4,Inspect an entrance or lift - synthetic ticket 165
T-00166,Central,Access,Low,2026-03-16,2026-03-18,,Inspect an entrance or lift - synthetic ticket 166
T-00167,Central,Access,Normal,2026-03-01,2026-03-03,,Inspect an entrance or lift - synthetic ticket 167
T-00168,Central,Technology,High,2026-03-12,2026-03-23,0,Check a shared classroom device - synthetic ticket 168
T-00169,Central,Technology,High,2026-03-17,2026-03-23,4,Check a shared classroom device - synthetic ticket 169
T-00170,Central,Comfort,Low,2026-03-24,2026-03-29,4,Investigate room conditions - synthetic ticket 170
T-00171,Central,Technology,High,2026-03-16,,4,"Check a shared classroom device - synthetic ticket 171; location label ""A, B"""
T-00172,Central,Technology,Low,2026-03-27,,2,Check a shared classroom device - synthetic ticket 172
T-00173,Central,Access,Low,2026-02-27,2026-03-11,0,Inspect an entrance or lift - synthetic ticket 173
T-00174,Central,Access,Low,2026-03-30,2026-03-31,,Inspect an entrance or lift - synthetic ticket 174
T-00175,Central,Access,High,2026-03-17,2026-03-19,2,Inspect an entrance or lift - synthetic ticket 175
T-00176,Central,Comfort,Normal,2026-03-26,2026-03-28,,Investigate room conditions - synthetic ticket 176
T-00177,Central,Comfort,High,2026-03-04,2026-03-11,0.5,Investigate room conditions - synthetic ticket 177
T-00178,Central,Access,Low,2026-03-15,,4,Inspect an entrance or lift - synthetic ticket 178; <em>inspection only</em>
T-00179,Central,Technology,Normal,2026-03-17,2026-03-25,0.5,Check a shared classroom device - synthetic ticket 179
T-00180,Central,Technology,Low,2026-03-23,,8,Check a shared classroom device - synthetic ticket 180
T-00181,Central,Access,Low,2026-03-29,,4,Inspect an entrance or lift - synthetic ticket 181
T-00182,Central,Access,High,2026-03-23,,16,Inspect an entrance or lift - synthetic ticket 182
T-00183,Central,Access,Normal,2026-03-15,2026-03-21,16,Inspect an entrance or lift - synthetic ticket 183
T-00184,Central,Access,Normal,2026-03-03,,1,Inspect an entrance or lift - synthetic ticket 184
T-00185,Central,Comfort,Low,2026-03-02,2026-03-04,2,Investigate room conditions - synthetic ticket 185
T-00186,Central,Comfort,Low,2026-03-31,,,"Investigate room conditions - synthetic ticket 186
Follow-up requested"
T-00187,Central,Comfort,Normal,2026-03-24,2026-03-25,1,Investigate room conditions - synthetic ticket 187
T-00188,Central,Comfort,Low,2026-03-23,2026-03-31,1,"Investigate room conditions - synthetic ticket 188; location label ""A, B"""
T-00189,Central,Access,Low,2026-03-29,2026-03-31,16,Inspect an entrance or lift - synthetic ticket 189
T-00190,Central,Technology,High,2026-03-25,2026-03-30,1,Check a shared classroom device - synthetic ticket 190
T-00191,Central,Technology,Low,2026-03-21,,0.5,Check a shared classroom device - synthetic ticket 191
T-00192,Central,Technology,Normal,2026-02-25,,,Check a shared classroom device - synthetic ticket 192
T-00193,Central,Technology,Low,2026-03-22,,,Check a shared classroom device - synthetic ticket 193
T-00194,Central,Technology,Low,2026-03-27,,2,Check a shared classroom device - synthetic ticket 194
T-00195,Central,Comfort,Low,2026-03-23,2026-03-30,0,Investigate room conditions - synthetic ticket 195
T-00196,Central,Access,High,2026-03-20,2026-03-28,1,Inspect an entrance or lift - synthetic ticket 196
T-00197,Central,Technology,Low,2026-03-12,,2,Check a shared classroom device - synthetic ticket 197
T-00198,Central,Technology,High,2026-02-25,,2,Check a shared classroom device - synthetic ticket 198
T-00199,Central,Comfort,Normal,2026-03-19,2026-03-23,0.5,Investigate room conditions - synthetic ticket 199
T-00200,Central,Access,High,2026-03-16,,16,Inspect an entrance or lift - synthetic ticket 200
T-00201,South,Technology,Normal,2026-03-09,,,Check a shared classroom device - synthetic ticket 201
T-00202,South,Access,High,2026-03-13,,16,Inspect an entrance or lift - synthetic ticket 202
T-00203,South,Access,High,2026-02-02,,,Inspect an entrance or lift - synthetic ticket 203
T-00204,South,Technology,Low,2026-03-13,,0.5,Check a shared classroom device - synthetic ticket 204
T-00205,South,Access,Normal,2026-03-23,,,"Inspect an entrance or lift - synthetic ticket 205; location label ""A, B"""
T-00206,South,Comfort,Normal,2026-03-28,,,Investigate room conditions - synthetic ticket 206
T-00207,South,Comfort,High,2026-03-21,,,Investigate room conditions - synthetic ticket 207
T-00208,South,Access,High,2026-03-25,2026-03-27,,Inspect an entrance or lift - synthetic ticket 208
T-00209,South,Comfort,High,2026-02-17,2026-03-02,,Investigate room conditions - synthetic ticket 209
T-00210,South,Technology,High,2026-03-12,,2,Check a shared classroom device - synthetic ticket 210
T-00211,South,Technology,High,2026-02-12,,,Check a shared classroom device - synthetic ticket 211
T-00212,South,Access,High,2026-03-21,,,Inspect an entrance or lift - synthetic ticket 212
T-00213,South,Comfort,High,2026-03-13,,,Investigate room conditions - synthetic ticket 213
T-00214,South,Access,Normal,2026-02-27,,8,Inspect an entrance or lift - synthetic ticket 214
T-00215,South,Comfort,Normal,2026-03-05,,1,Investigate room conditions - synthetic ticket 215
T-00216,South,Access,Normal,2026-03-04,,,Inspect an entrance or lift - synthetic ticket 216
T-00217,South,Technology,High,2026-03-30,,,Check a shared classroom device - synthetic ticket 217
T-00218,South,Access,High,2026-01-31,,,Inspect an entrance or lift - synthetic ticket 218
T-00219,South,Technology,High,2026-02-13,,,Check a shared classroom device - synthetic ticket 219
T-00220,South,Access,High,2026-02-07,,0.5,Inspect an entrance or lift - synthetic ticket 220
T-00221,South,Access,High,2026-03-29,,,Inspect an entrance or lift - synthetic ticket 221
T-00222,South,Technology,Normal,2026-03-19,2026-04-01,8,"Check a shared classroom device - synthetic ticket 222; location label ""A, B"""
T-00223,South,Access,Normal,2026-02-02,,1,"Inspect an entrance or lift - synthetic ticket 223
Follow-up requested"
T-00224,South,Access,High,2026-03-18,,8,Inspect an entrance or lift - synthetic ticket 224
T-00225,South,Access,Low,2026-02-06,2026-02-16,4,Inspect an entrance or lift - synthetic ticket 225
T-00226,South,Technology,High,2026-02-21,,,Check a shared classroom device - synthetic ticket 226
T-00227,South,Access,Low,2026-03-29,,0,Inspect an entrance or lift - synthetic ticket 227
T-00228,South,Technology,Normal,2026-02-16,,,Check a shared classroom device - synthetic ticket 228
T-00229,South,Access,High,2026-03-06,,1,Inspect an entrance or lift - synthetic ticket 229
T-00230,South,Comfort,High,2026-03-21,2026-03-24,,Investigate room conditions - synthetic ticket 230
T-00231,South,Access,High,2026-03-30,,8,Inspect an entrance or lift - synthetic ticket 231
T-00232,South,Access,High,2026-03-01,,2,Inspect an entrance or lift - synthetic ticket 232
T-00233,South,Access,High,2026-03-27,,,Inspect an entrance or lift - synthetic ticket 233
T-00234,South,Access,Low,2026-02-15,,,Inspect an entrance or lift - synthetic ticket 234
T-00235,South,Access,High,2026-02-02,2026-02-06,2,Inspect an entrance or lift - synthetic ticket 235
T-00236,South,Technology,High,2026-02-09,,16,Check a shared classroom device - synthetic ticket 236
T-00237,South,Technology,High,2026-02-02,,,Check a shared classroom device - synthetic ticket 237; <em>inspection only</em>
T-00238,South,Access,High,2026-01-31,,8,Inspect an entrance or lift - synthetic ticket 238
T-00239,South,Comfort,High,2026-03-24,,,"Investigate room conditions - synthetic ticket 239; location label ""A, B"""
T-00240,South,Access,High,2026-02-26,2026-03-04,4,Inspect an entrance or lift - synthetic ticket 240
